Atom Charge
S1 0.005875254
S2 -0.034976369
O3 -1.2426454294
O4 -1.2385027351
O5 -1.3220388717
O6 -1.3344455384
N7 -1.0470974444
N8 -1.0517736001
C9 0.5002449129
C10 0.5207415275
C11 0.0245929238
C12 -0.0018092904
C13 1.7735667632
C14 1.7908588256
H15 -0.0124938563
H16 0.01435711812
H17 -0.0147903381
H18 0.03218621315
H19 -0.0180408491
H20 0.01383866353
H21 0.36313601357
H22 0.34139828807
H23 0.34271899929
H24 0.35862051849
H25 0.62088798678
H26 0.61810586698
