Atom Loc_index
O1 8.1647923891
O2 8.3254664173
N3 6.5088043784
N4 6.4772602676
C5 3.8985361414
C6 3.8532787219
C7 3.8968337785
C8 3.559470362
C9 3.6096155228
C10 3.6923252313
C11 3.9600663213
C12 3.9571114315
C13 2.818770623
C14 3.963621864
C15 3.9562613077
H16 0.43521849909
H17 0.42640026083
H18 0.42663097043
H19 0.40474919002
H20 0.15187774209
H21 0.40150741259
H22 0.43057448445
H23 0.43179587355
H24 0.17970952829
H25 0.19173183696
H26 0.43176570125
H27 0.070319210454
