Atom Charge
O1 -1.1973745594
O2 -1.2891529788
N3 -1.3207332915
N4 -1.0253760403
C5 -0.0044071709
C6 0.120142163
C7 -0.0172379838
C8 0.4528400137
C9 0.4132765564
C10 0.4073828596
C11 -0.0120912501
C12 0.0070194474
C13 1.6788061757
C14 -0.0096852162
C15 -0.0046576666
H16 -0.0116966376
H17 0.00205257516
H18 0.00630906072
H19 0.03966199718
H20 0.41997482166
H21 0.03109446278
H22 0.00509111587
H23 0.00316099752
H24 0.35565261239
H25 0.33740647998
H26 0.004304191
H27 0.60880994325
