Atom(A) Atom(B) Deloc_index
O1 O2 0.27720476225
O1 N3 0.012159052383
O2 N3 0.051285495256
O1 C4 0.017714603395
O2 C4 0.010886047986
N3 C4 0.054909739011
O1 C5 0.068161521881
O2 C5 0.078946469628
N3 C5 0.93154107811
C4 C5 0.90676230326
O1 C6 0.0024968528367
O2 C6 0.0077362345288
N3 C6 0.014369048451
C4 C6 0.95303396853
C5 C6 0.039629302
O1 C7 0.0018136941786
O2 C7 0.0020924527959
N3 C7 0.019097829675
C4 C7 0.96119352527
C5 C7 0.040039170491
C6 C7 0.03834699072
O1 C8 0.00021741155331
O2 C8 0.00078387019026
N3 C8 0.0016471054892
C4 C8 0.039065486141
C5 C8 0.0080358202907
C6 C8 0.97144157509
C7 C8 0.0081838981482
O1 C9 0.69117324811
O2 C9 1.0573276026
N3 C9 0.068871392483
C4 C9 0.043050736263
C5 C9 0.84837371278
C6 C9 0.007071103232
C7 C9 0.0070563886479
C8 C9 0.00075497204631
O1 H10 0.024097218214
O2 H10 0.00073060399559
N3 H10 0.0090144233723
C4 H10 0.92859898758
C5 H10 0.039909593065
C6 H10 0.037977499104
C7 H10 0.038664095208
C8 H10 0.0073635260394
C9 H10 0.0033979617361
O1 H11 0.014106110726
O2 H11 0.011518140361
N3 H11 0.05813180293
C4 H11 0.032264819609
C5 H11 0.90583466728
C6 H11 0.0078024377468
C7 H11 0.0088009778091
C8 H11 0.0013344668589
C9 H11 0.045790935502
H10 H11 0.0029260321886
O1 H12 0.003816490963
O2 H12 0.01886950402
N3 H12 0.0014713869309
C4 H12 0.040056343633
C5 H12 0.0056543998988
C6 H12 0.94074360503
C7 H12 0.0088004867568
C8 H12 0.041384903974
C9 H12 0.0075426660649
H10 H12 0.0025428358681
H11 H12 0.00035922464158
O1 H13 0.00039442735912
O2 H13 0.00047598962584
N3 H13 0.01792705576
C4 H13 0.039128149526
C5 H13 0.0026404791485
C6 H13 0.93975401394
C7 H13 0.0066710875649
C8 H13 0.040820913272
C9 H13 0.00042298645024
H10 H13 0.0098019483998
H11 H13 0.00028604582785
H12 H13 0.041604634749
O1 H14 0.00010426933638
O2 H14 0.00028499324195
N3 H14 0.001718895939
C4 H14 0.040933144041
C5 H14 0.0078941859279
C6 H14 0.0092830947927
C7 H14 0.95875121001
C8 H14 0.00095361088888
C9 H14 0.00058858145853
H10 H14 0.0031003353332
H11 H14 0.0085542225067
H12 H14 0.0020049626577
H13 H14 0.00067185828521
O1 H15 0.00044666217467
O2 H15 0.00014633001299
N3 H15 0.024349880458
C4 H15 0.038360230966
C5 H15 0.0028375908844
C6 H15 0.0060220871247
C7 H15 0.95005068951
C8 H15 0.00065935691935
C9 H15 0.00037624208135
H10 H15 0.009833283076
H11 H15 0.00036931717706
H12 H15 0.00053399815679
H13 H15 0.0054857380449
H14 H15 0.041375800469
O1 H16 0.00016360379902
O2 H16 0.00066215001417
N3 H16 0.0022153862535
C4 H16 0.039844432784
C5 H16 0.0090383720021
C6 H16 0.003189047757
C7 H16 0.95566131478
C8 H16 0.010585341348
C9 H16 0.0016478355649
H10 H16 0.0035576197365
H11 H16 0.00082497821109
H12 H16 0.00033577192971
H13 H16 0.00031189625767
H14 H16 0.04238843952
H15 H16 0.040605905102
O1 H17 8.2765603676e-05
O2 H17 3.5734256714e-05
N3 H17 0.00047009418984
C4 H17 0.0070751593759
C5 H17 0.0005502285291
C6 H17 0.040898925541
C7 H17 0.00082189305386
C8 H17 0.95970158521
C9 H17 3.2381830356e-05
H10 H17 0.0070156669832
H11 H17 4.0845036301e-05
