Atom Charge
O1 -1.2825123608
O2 -1.3848435312
O3 -1.3777699192
N4 -1.0740830354
N5 -1.3517856896
C6 0.2078336101
C7 0.5583572489
C8 0.1489511655
C9 1.7912521822
C10 1.7613759206
H11 -0.0184359014
H12 -0.0306192324
H13 -0.023715954
H14 -0.0416693748
H15 -0.0413972702
H16 0.353963423
H17 0.3373526569
H18 0.41189405295
H19 0.42777346641
H20 0.62701077568
