Atom Charge
O1 -1.1746572159
O2 -1.2597116412
N3 -1.0181973872
C4 0.0855972741
C5 0.418774793
C6 0.0726788235
C7 0.0590098094
C8 0.0633123699
C9 1.6294978331
H10 -0.017038138
H11 0.01029382571
H12 -0.0317002676
H13 -0.0245517854
H14 -0.0273413017
H15 0.00475164658
H16 -0.0233312465
H17 -0.0255690887
H18 -0.0196786254
H19 -0.0211293707
H20 0.35480664728
H21 0.34184371067
H22 0.60208375869
