Atom Loc_index
O1 8.328716334
O2 8.5030488035
N3 6.7411617579
N4 6.5439062481
C5 3.8935136138
C6 3.7763527046
C7 3.8997539936
C8 3.4922779842
C9 3.5935193808
C10 3.6388617531
C11 3.9338086489
C12 3.9201259482
C13 2.7832138509
C14 3.9332192154
C15 3.9271942818
H16 0.46936616786
H17 0.45837353982
H18 0.45723410017
H19 0.42633053965
H20 0.15001714589
H21 0.42408757428
H22 0.45625877165
H23 0.45778157243
H24 0.18140357655
H25 0.19496280039
H26 0.45717811406
H27 0.064568650945
