Atom(A) Atom(B) Deloc_index
O1 O2 0.051214231113
O1 O3 0.0060981285839
O2 O3 0.31577533541
O1 N4 0.0195741865
O2 N4 0.016004439807
O3 N4 0.058886970398
O1 C5 0.89618507896
O2 C5 0.0099980856605
O3 C5 0.017457616131
N4 C5 0.070299459575
O1 C6 0.087870924412
O2 C6 0.085681511925
O3 C6 0.097826956432
N4 C6 1.0152009078
C5 C6 0.88776689289
O1 C7 0.092466115789
O2 C7 0.0015799034492
O3 C7 0.017423692716
N4 C7 0.026626626122
C5 C7 0.96464768277
C6 C7 0.040811830178
O1 C8 0.021998971174
O2 C8 0.88128105364
O3 C8 1.2812026643
N4 C8 0.076937626263
C5 C8 0.045992860259
C6 C8 0.8692309325
C7 C8 0.0070904376549
O1 H9 0.010675538398
O2 H9 0.023372082619
O3 H9 0.015080010068
N4 H9 0.055132382727
C5 H9 0.0347254675
C6 H9 0.89665379923
C7 H9 0.0094680913487
C8 H9 0.036712232148
O1 H10 0.0763520535
O2 H10 0.0019038180353
O3 H10 0.0039528514795
N4 H10 0.016413216715
C5 H10 0.89236232421
C6 H10 0.040233979873
C7 H10 0.039187502094
C8 H10 0.0096492548031
H9 H10 0.0059530466965
O1 H11 0.015249282744
O2 H11 0.00021957338847
O3 H11 0.00099215892035
N4 H11 0.026108842797
C5 H11 0.03994460321
C6 H11 0.0028589243617
C7 H11 0.94652070988
C8 H11 0.00054913874136
H9 H11 0.00043719935962
H10 H11 0.0037861835854
O1 H12 0.017804058811
O2 H12 0.00062612793205
O3 H12 0.0018564833332
N4 H12 0.0031235555393
C5 H12 0.040343400365
C6 H12 0.011529556001
C7 H12 0.94950171844
C8 H12 0.0012618703183
H9 H12 0.0019852790067
H10 H12 0.003511194613
H11 H12 0.035184389136
O1 H13 0.012333425505
O2 H13 0.00093078792951
O3 H13 0.029151394329
N4 H13 0.0018604909146
C5 H13 0.039408478426
C6 H13 0.0053183557265
C7 H13 0.93786843543
C8 H13 0.0046135458766
H9 H13 0.00038235265706
H10 H13 0.012546067558
H11 H13 0.035006410387
H12 H13 0.034766075491
O1 H14 0.00075152336808
O2 H14 0.0015905525849
O3 H14 0.021746201716
N4 H14 0.83271946905
C5 H14 0.0019974334638
C6 H14 0.022835915352
C7 H14 0.0076494911294
C8 H14 0.0042313090636
H9 H14 0.01026669442
H10 H14 0.00033623475757
H11 H14 0.0070664455901
H12 H14 0.00113433775
H13 H14 0.001099815703
O1 H15 0.0031814396003
O2 H15 0.00046001938141
O3 H15 0.0021166746594
N4 H15 0.86950955251
C5 H15 0.0092547508211
C6 H15 0.024733244611
C7 H15 0.0019047898969
C8 H15 0.0024328335595
H9 H15 0.0034340057888
H10 H15 0.00042574839184
H11 H15 0.0014018756606
H12 H15 0.0002256528851
H13 H15 0.00010675349497
H14 H15 0.016411607088
O1 H16 0.67594254598
O2 H16 0.0077787210375
O3 H16 0.0003843150674
N4 H16 0.00053998118768
C5 H16 0.014585533265
C6 H16 0.0043591883441
C7 H16 0.0093854743584
C8 H16 0.00049786173961
H9 H16 0.0031995180946
H10 H16 0.00092732489467
H11 H16 0.0026726131782
H12 H16 0.00060485177794
H13 H16 0.00034301476463
H14 H16 0.0001295069616
H15 H16 4.2496972934e-05
O1 H17 0.00075801943278
O2 H17 0.62834265137
O3 H17 0.02045035871
N4 H17 0.0031343085903
C5 H17 0.00071925824824
C6 H17 0.0099024516296
C7 H17 4.6174624587e-05
C8 H17 0.012259027788
H9 H17 0.00072731629987
H10 H17 0.00035986483238
H11 H17 1.9105172878e-05
H12 H17 2.1353477422e-05
H13 H17 3.0816997322e-05
H14 H17 9.4990328823e-05
H15 H17 7.7030107724e-05
H16 H17 0.00013233666863
