Atom(A) Atom(B) Deloc_index
O1 O2 0.29827786898
O1 N3 0.012397238763
O2 N3 0.048235213097
O1 C4 0.0014583873988
O2 C4 0.0016648258174
N3 C4 0.016111903183
O1 C5 0.0080523635252
O2 C5 0.022735374927
N3 C5 0.082213012181
C4 C5 0.96273716689
O1 C6 0.080742109471
O2 C6 0.091896661968
N3 C6 0.98017135976
C4 C6 0.036308332867
C5 C6 0.93686914899
O1 C7 0.0051228065073
O2 C7 0.00061132876579
N3 C7 0.0015358796846
C4 C7 0.97691827689
C5 C7 0.046625505017
C6 C7 0.012166580667
O1 C8 0.014094644019
O2 C8 0.013181619033
N3 C8 0.00093871097
C4 C8 0.97707277712
C5 C8 0.045489265615
C6 C8 0.0037854730994
C7 C8 0.051065117837
O1 C9 0.81478440302
O2 C9 1.2032260886
N3 C9 0.075522452424
C4 C9 0.0035115546518
C5 C9 0.044912033542
C6 C9 0.86219981968
C7 C9 0.00076356317711
C8 C9 0.0073313768413
O1 H10 0.0006414017347
O2 H10 0.00025526848766
N3 H10 0.0024594117103
C4 H10 0.92850912437
C5 H10 0.044712906725
C6 H10 0.010040693812
C7 H10 0.042911946009
C8 H10 0.04320300436
C9 H10 0.00054541993638
O1 H11 0.0011287307347
O2 H11 0.015284635781
N3 H11 0.014059802095
C4 H11 0.036287307948
C5 H11 0.92978563484
C6 H11 0.039369532748
C7 H11 0.010217811102
C8 H11 0.009254604018
C9 H11 0.0044363394543
H10 H11 0.0029567689698
O1 H12 0.0016204705556
O2 H12 0.0037345649722
N3 H12 0.017627893543
C4 H12 0.038789141307
C5 H12 0.93541942748
C6 H12 0.042166910587
C7 H12 0.0062617733051
C8 H12 0.010234639372
C9 H12 0.010058161964
H10 H12 0.0065877123155
H11 H12 0.036717780781
O1 H13 0.021897947556
O2 H13 0.01117579197
N3 H13 0.055602560598
C4 H13 0.0028944465584
C5 H13 0.034013930458
C6 H13 0.89817831214
C7 H13 0.013744138533
C8 H13 0.000307063998
C9 H13 0.032768936287
H10 H13 0.0002819824964
H11 H13 0.010454427791
H12 H13 0.0031916529959
O1 H14 0.012620083414
O2 H14 0.00049764819504
N3 H14 0.00098936560402
C4 H14 0.038974276395
C5 H14 0.0034361847609
C6 H14 0.0076380640406
C7 H14 0.94568593668
C8 H14 0.0082198706274
C9 H14 0.00072230605812
H10 H14 0.012026385655
H11 H14 0.00041743656915
H12 H14 0.00042477684066
H13 H14 0.012386644877
O1 H15 0.0003976974927
O2 H15 0.00023008653826
N3 H15 0.00022325203933
C4 H15 0.039653195434
C5 H15 0.0085511790089
C6 H15 0.0020626669588
C7 H15 0.95954561786
C8 H15 0.011701414018
C9 H15 0.00022298277365
H10 H15 0.0029817142787
H11 H15 0.00071492622506
H12 H15 0.0058555953765
H13 H15 0.0034698332152
H14 H15 0.039127646371
O1 H16 0.00038382732716
O2 H16 0.00010964897632
N3 H16 0.00037629138593
C4 H16 0.039922687394
C5 H16 0.011206544613
C6 H16 0.0015339109984
C7 H16 0.95969066203
C8 H16 0.0076931253422
C9 H16 7.5474493958e-05
H10 H16 0.0046463510535
H11 H16 0.0021886605559
H12 H16 0.00053312835153
H13 H16 0.0018448174588
H14 H16 0.038630830929
H15 H16 0.039430759233
O1 H17 0.001012736355
O2 H17 0.0070766386198
N3 H17 0.00011783221521
C4 H17 0.038828011664
C5 H17 0.0086160881854
C6 H17 0.00043866286695
C7 H17 0.011319007115
C8 H17 0.95556430996
C9 H17 0.00085893579722
H10 H17 0.0027838790537
H11 H17 0.0077623989835
H12 H17 0.00062552900299
H13 H17 0.00015127225962
H14 H17 0.00076302831739
H15 H17 0.0030874311956
H16 H17 0.00079977441047
O1 H18 0.031980215474
O2 H18 0.0115121401
N3 H18 0.0001985219593
C4 H18 0.039367253724
C5 H18 0.0028711722768
C6 H18 0.0012184297427
C7 H18 0.0095501657231
C8 H18 0.9404026979
C9 H18 0.0086993479204
H10 H18 0.011946484734
H11 H18 0.00038064723941
H12 H18 0.00041683028496
H13 H18 0.00014423160204
H14 H18 0.006861904997
H15 H18 0.00091043451422
H16 H18 0.00056577473977
H17 H18 0.0379840896
O1 H19 0.0012081588275
O2 H19 0.0019094163811
N3 H19 0.00038272609921
C4 H19 0.040620264537
C5 H19 0.011120784646
C6 H19 0.00057174659433
C7 H19 0.0072683110279
C8 H19 0.96014174164
C9 H19 0.00087443384041
H10 H19 0.0053111161585
H11 H19 0.00071691790018
H12 H19 0.0021292295201
H13 H19 4.5592643127e-05
H14 H19 0.00046688042779
H15 H19 0.00074216832516
H16 H19 0.0059172891258
H17 H19 0.038440970717
H18 H19 0.038653266649
O1 H20 0.00154991995
O2 H20 0.0040451225725
N3 H20 0.87253841143
C4 H20 0.00052743924247
C5 H20 0.0066593284262
C6 H20 0.022411966255
C7 H20 4.887087781e-05
C8 H20 0.00021272997439
C9 H20 0.0093779182985
H10 H20 8.5482080884e-05
H11 H20 0.00044243819323
H12 H20 0.0059923164004
H13 H20 0.0014540930128
H14 H20 1.5887572781e-05
H15 H20 2.3715277426e-05
H16 H20 1.0071049048e-05
H17 H20 1.0525294519e-05
H18 H20 2.4725235442e-05
H19 H20 5.3429353275e-05
O1 H21 0.0010312397294
O2 H21 0.017902997451
N3 H21 0.84881724314
C4 H21 0.0003574407057
C5 H21 0.0041953979372
C6 H21 0.02223639234
C7 H21 0.00031948542193
C8 H21 3.907403616e-05
C9 H21 0.0032294207794
H10 H21 3.9266653872e-05
H11 H21 0.0033594601234
H12 H21 0.00038707289034
H13 H21 0.0097614374473
H14 H21 0.00023707371721
H15 H21 4.5011273459e-05
H16 H21 6.8701719553e-05
H17 H21 1.2413252714e-05
H18 H21 1.6132533224e-05
H19 H21 1.1932426556e-05
H20 H21 0.016807525649
O1 H22 0.61770659278
O2 H22 0.016739070321
N3 H22 0.0011740939357
C4 H22 4.5223151666e-05
C5 H22 0.00087939813896
C6 H22 0.0085423622726
C7 H22 5.6628338906e-05
C8 H22 0.00010241527274
C9 H22 0.010771681378
H10 H22 1.7552658485e-05
H11 H22 3.821707688e-05
H12 H22 0.00030082147274
H13 H22 0.00074066420364
H14 H22 0.00019239744802
H15 H22 4.5797120544e-06
H16 H22 8.0415378707e-06
H17 H22 7.0961833542e-06
H18 H22 0.00039753610678
H19 H22 1.2203931416e-05
H20 H22 0.00031334731389
H21 H22 3.0431086726e-05
