Atom Charge
O1 -1.1884768572
O2 -1.2421730691
O3 -1.332148468
N4 -1.0518744384
C5 0.6442033973
C6 0.4942179288
C7 0.1491895628
C8 1.7505311948
H9 -0.0221211986
H10 -0.0305184131
H11 -0.0325633786
H12 -0.024119986
H13 -0.0151391378
H14 0.36415712375
H15 0.34111317251
H16 0.57625552209
H17 0.61823411506
