Atom Loc_index
O1 8.2898280976
O2 8.4597603165
N3 6.6831105066
N4 6.5272745962
C5 3.8955363035
C6 3.7968501941
C7 3.8992559781
C8 3.5103566159
C9 3.5962536305
C10 3.6514162792
C11 3.9407072623
C12 3.9303487835
C13 2.7897425628
C14 3.941591172
C15 3.9348061408
H16 0.46023160204
H17 0.44983424598
H18 0.44905075276
H19 0.42056888613
H20 0.15039681182
H21 0.41807010366
H22 0.44932954114
H23 0.45078287829
H24 0.18089651969
H25 0.19405540668
H26 0.45036359173
H27 0.065943023589
