Atom Charge
O1 -1.098171872
O2 -1.1841982818
N3 -1.1518487178
N4 -0.9831912014
C5 -0.0149807685
C6 0.0374385918
C7 -0.0188264967
C8 0.3617169364
C9 0.3627766648
C10 0.3231030313
C11 -0.0401496505
C12 -0.0303548434
C13 1.5253966874
C14 -0.0398744245
C15 -0.0341273634
H16 0.02037196617
H17 0.03232624643
H18 0.03477789915
H19 0.06075860848
H20 0.41410935354
H21 0.05247439281
H22 0.03012486687
H23 0.02895239961
H24 0.35428975399
H25 0.33950480119
H26 0.02928735275
H27 0.58804288892
