Atom Charge
O1 -1.2203332933
O2 -1.3143231212
N3 -1.3636923077
N4 -1.0361009082
C5 -0.000529166
C6 0.1432726765
C7 -0.0165030585
C8 0.4785067287
C9 0.424786939
C10 0.4282167427
C11 -0.0045628152
C12 0.0179799344
C13 1.7128454105
C14 -0.0009297422
C15 0.0033303914
H16 -0.0206262157
H17 -0.0063693041
H18 -0.001657718
H19 0.03379022798
H20 0.42113686329
H21 0.02508591637
H22 -0.00200269
H23 -0.0041003037
H24 0.3556781379
H25 0.33660304133
H26 -0.0026691051
H27 0.61361649548
