Atom Charge
O1 -1.2838716543
O2 -1.3868791809
N3 -1.4888262217
N4 -1.0698098407
C5 0.0155819397
C6 0.2193507159
C7 -0.0127649739
C8 0.5641085177
C9 0.4521778648
C10 0.4861726902
C11 0.0192291461
C12 0.0563123228
C13 1.8034492002
C14 0.0295220234
C15 0.0285163382
H16 -0.0500032327
H17 -0.0340154533
H18 -0.027937039
H19 0.01452912484
H20 0.42390773523
H21 0.00553512721
H22 -0.0256535146
H23 -0.0282108943
H24 0.35499385495
H25 0.33340295382
H26 -0.0255787223
H27 0.62737449586
