Atom Charge
O1 -1.1736904357
O2 -1.2635100063
N3 -1.2777044396
N4 -1.0147905682
C5 -0.0077189192
C6 0.0978278715
C7 -0.017810609
C8 0.4284348202
C9 0.4010534916
C10 0.386197157
C11 -0.0194113402
C12 -0.0032187286
C13 1.6429368837
C14 -0.0179188965
C15 -0.012400489
H16 -0.0031524547
H17 0.01011379305
H18 0.013913952
H19 0.04528381532
H20 0.41869547653
H21 0.03682889193
H22 0.0118312322
H23 0.01007659611
H24 0.35550188274
H25 0.3380906055
H26 0.0109718636
H27 0.60387220681
