Atom Charge
O1 -1.242133045
O2 -1.334132652
N3 -1.0922295002
C4 0.4757113828
C5 0.1226550945
C6 0.1378700488
C7 0.4801364639
C8 1.7394942685
H9 -0.0105255614
H10 -0.0307412519
H11 -0.0423799642
H12 -0.0456651284
H13 -0.0430481714
H14 -0.0581822229
H15 -0.0360578924
H16 0.36251676936
H17 0.61690647232
