Atom Loc_index
O1 8.0752860621
O2 8.2323499365
N3 6.3968225905
N4 6.4427528096
C5 3.8985751525
C6 3.8861760071
C7 3.8946892823
C8 3.588377975
C9 3.6208547496
C10 3.7204203462
C11 3.9717596546
C12 3.9723350964
C13 2.8456236068
C14 3.976189261
C15 3.9693139255
H16 0.42024195845
H17 0.41234431043
H18 0.4131941385
H19 0.39527796404
H20 0.15315744466
H21 0.39156355934
H22 0.41953406608
H23 0.42058275339
H24 0.17917932731
H25 0.19046237288
H26 0.42071769302
H27 0.073505953976
