Atom Loc_index
O1 8.1206211948
O2 8.279278664
N3 6.4521350618
N4 6.4602160998
C5 3.8987158568
C6 3.870256135
C7 3.8958021324
C8 3.5743133177
C9 3.6151177783
C10 3.7064129426
C11 3.9660304963
C12 3.9649654569
C13 2.8314788775
C14 3.9701057526
C15 3.9628911107
H16 0.42757735073
H17 0.41923112993
H18 0.41977731773
H19 0.39991466745
H20 0.15248787766
H21 0.39643597565
H22 0.42492213572
H23 0.42605855401
H24 0.17941902152
H25 0.19107284526
H26 0.42611806444
H27 0.071880246222
