Atom Charge
O1 -1.2632142776
O2 -1.3529441838
N3 -1.0863606389
C4 0.1482322778
C5 0.516664363
C6 0.1714902553
C7 0.1639297645
C8 1.7813111136
H9 -0.0655787463
H10 -0.0428108415
H11 -0.0696003055
H12 -0.0310809766
H13 -0.0621612103
H14 -0.0658682438
H15 -0.0606380549
H16 -0.0214571144
H17 0.38051307424
H18 0.33765440807
H19 0.62200549746
