Atom Loc_index
O1 8.2078139227
O2 8.3709514507
N3 6.5664816235
N4 6.4940432453
C5 3.8979807694
C6 3.8352904596
C7 3.8977700706
C8 3.5439346919
C9 3.6045074217
C10 3.6783259604
C11 3.953846767
C12 3.9487695686
C13 2.8074635373
C14 3.9567214487
C15 3.9493561347
H16 0.44318898862
H17 0.43387391846
H18 0.43377717145
H19 0.40979346273
H20 0.1513265079
H21 0.40679311978
H22 0.43651203939
H23 0.43781479029
H24 0.18005087962
H25 0.19244515429
H26 0.43767684467
H27 0.068813615648
