Atom Charge
O1 -1.2631418123
O2 -1.358503605
N3 -1.0580363861
N4 -1.0657606467
C5 0.1651807214
C6 0.1569447882
C7 0.1656685349
C8 0.5316247697
C9 0.5412397081
C10 1.7646820923
H11 -0.0383531737
H12 -0.0791182277
H13 -0.0647472037
H14 -0.0465200275
H15 -0.0581451082
H16 -0.0837402007
H17 -0.021803041
H18 -0.0851615198
H19 -0.0615078588
H20 0.35079710002
H21 0.33786733441
H22 0.32287191926
H23 0.32730480066
H24 0.62115158167
