Atom Charge
O1 -1.0717568588
O2 -1.1570011093
N3 -1.1119095617
N4 -0.9724776472
C5 -0.0167292444
C6 0.0193568524
C7 -0.0190285488
C8 0.3414405248
C9 0.3501417923
C10 0.3029064985
C11 -0.0466261298
C12 -0.0383848932
C13 1.4835580282
C14 -0.0463607395
C15 -0.0408291897
H16 0.02757096118
H17 0.03912719015
H18 0.04114029332
H19 0.06548651908
H20 0.4123177846
H21 0.05742136383
H22 0.03563725103
H23 0.03467951552
H24 0.35362860322
H25 0.33979593571
H26 0.03487412286
H27 0.58231885219
