Atom Charge
O1 -1.1491645482
O2 -1.2374645534
N3 -1.2349813006
N4 -1.0042780448
C5 -0.0105428731
C6 0.0764838405
C7 -0.0182385792
C8 0.4051914006
C9 0.3883978356
C10 0.3649169268
C11 -0.0265327974
C12 -0.0128114253
C13 1.6050902453
C14 -0.0256811951
C15 -0.0198910843
H16 0.0050270429
H17 0.01783459107
H18 0.0211836137
H19 0.0506663325
H20 0.4172935138
H21 0.04229519058
H22 0.01823813943
H23 0.01666822715
H24 0.35522358873
H25 0.33866307396
H26 0.01734889057
H27 0.59878233658
