Atom(A) Atom(B) Deloc_index
O1 O2 0.27761175313
O1 O3 9.9633071399e-05
O2 O3 0.00059232788101
O1 N4 0.012043229573
O2 N4 0.049510655496
O3 N4 0.00091655344846
O1 N5 4.5170282915e-05
O2 N5 0.00018247672797
O3 N5 0.26869210707
N4 N5 0.00024597115979
O1 C6 0.016447207398
O2 C6 0.011757584544
O3 C6 0.031333855642
N4 C6 0.062301678891
N5 C6 0.0082721074279
O1 C7 0.069527207826
O2 C7 0.079568935876
O3 C7 0.0030146554495
N4 C7 0.93229296084
N5 C7 0.00144655254
C6 C7 0.91973116192
O1 C8 0.0015800447963
O2 C8 0.0093288305489
O3 C8 0.09640145682
N4 C8 0.016056589406
N5 C8 0.083291184632
C6 C8 0.96242062136
C7 C8 0.041213887694
O1 C9 0.69636118587
O2 C9 1.0544322521
O3 C9 0.00036645670212
N4 C9 0.06908249741
N5 C9 0.0001273898852
C6 C9 0.047013926814
C7 C9 0.84872222784
C8 C9 0.0063451752471
O1 C10 0.00014278801277
O2 C10 0.0008637952533
O3 C10 1.0557609464
N4 C10 0.001408136964
N5 C10 0.82711384566
C6 C10 0.031566095876
C7 C10 0.0072075517892
C8 C10 0.89094892673
C9 C10 0.00064150556876
O1 H11 0.016940453872
O2 H11 0.00064074247572
O3 H11 0.021340855348
N4 H11 0.0096441258756
N5 H11 0.00078759361117
C6 H11 0.9350069037
C7 H11 0.036328367318
C8 H11 0.03818886016
C9 H11 0.0031433530301
C10 H11 0.0031013003676
O1 H12 0.0018471276278
O2 H12 0.0024336232712
O3 H12 0.011084914632
N4 H12 0.01240240506
N5 H12 0.00066009000718
C6 H12 0.93969939476
C7 H12 0.038393617142
C8 H12 0.03989627072
C9 H12 0.0085011405523
C10 H12 0.0028404944357
H11 H12 0.034721647874
O1 H13 0.01552032616
O2 H13 0.011165710222
O3 H13 0.00012109743102
N4 H13 0.057201411298
N5 H13 0.00037232042114
C6 H13 0.034166294071
C7 H13 0.91177666683
C8 H13 0.0082812107347
C9 H13 0.043158943343
C10 H13 0.0010590636125
H11 H13 0.0028021960045
H12 H13 0.0043246748241
O1 H14 0.00025851045455
O2 H14 0.00055791248212
O3 H14 0.011999754503
N4 H14 0.019286881909
N5 H14 0.015580650361
C6 H14 0.034709229727
C7 H14 0.0024542063575
C8 H14 0.93813307235
C9 H14 0.00036340602755
C10 H14 0.041138585715
H11 H14 0.0093392765186
H12 H14 0.003413473888
H13 H14 0.00027187405692
O1 H15 0.0016863274216
O2 H15 0.01999547163
O3 H15 0.01247877858
N4 H15 0.0011500606062
N5 H15 0.013606290118
C6 H15 0.035237903688
C7 H15 0.0040456693183
C8 H15 0.93671660587
C9 H15 0.0048568264095
C10 H15 0.044059791845
H11 H15 0.0023203446459
H12 H15 0.0098480233278
H13 H15 0.00028682141135
H14 H15 0.038778124707
O1 H16 0.00085485212057
O2 H16 0.018419810796
O3 H16 0.00025247581107
N4 H16 0.85112095716
N5 H16 5.7991172832e-05
C6 H16 0.0012075185638
C7 H16 0.018758290363
C8 H16 0.0038464536068
C9 H16 0.003261322776
C10 H16 0.00051490730101
H11 H16 0.00022744839363
H12 H16 0.00022491686871
H13 H16 0.0079411023533
H14 H16 0.0050311409022
H15 H16 0.00056135388775
O1 H17 0.00029494963698
O2 H17 0.0020493676609
O3 H17 0.00016397955098
N4 H17 0.88095530891
N5 H17 1.5372060485e-05
C6 H17 0.0072891418676
C7 H17 0.020532100515
C8 H17 0.001004576536
C9 H17 0.0016178025844
C10 H17 6.7651022904e-05
H11 H17 0.0013728141334
H12 H17 0.00027538845879
H13 H17 0.0031933965964
H14 H17 0.001109290555
H15 H17 5.3167894745e-05
H16 H17 0.016109336651
O1 H18 2.4964805057e-06
O2 H18 6.4557809489e-06
O3 H18 0.013419409815
N4 H18 1.8321299956e-05
N5 H18 0.81576259814
C6 H18 0.00061793689897
C7 H18 3.4943329829e-05
C8 H18 0.0043808003934
C9 H18 2.9749629011e-06
C10 H18 0.012931065618
H11 H18 0.00013102852711
H12 H18 5.4832233977e-05
H13 H18 1.0273669055e-05
H14 H18 0.0025973549383
H15 H18 0.0010900974135
H16 H18 5.1624503787e-06
H17 H18 1.4396760361e-06
O1 H19 5.7388340948e-06
O2 H19 9.8921650232e-06
O3 H19 0.010293360107
N4 H19 2.622675362e-05
N5 H19 0.79941732441
C6 H19 0.0012876780606
C7 H19 0.00029456214755
C8 H19 0.0073213533242
C9 H19 1.8751877567e-05
C10 H19 0.013930642358
H11 H19 3.2991274538e-05
H12 H19 2.8286271151e-05
H13 H19 7.9950602497e-05
H14 H19 0.00046056156772
H15 H19 0.00032509804407
H16 H19 4.6939139936e-06
H17 H19 1.54614884e-06
H18 H19 0.015566236931
O1 H20 0.58668775773
O2 H20 0.011251218262
O3 H20 4.7412296905e-06
N4 H20 0.0016660372731
N5 H20 8.4501744093e-07
C6 H20 0.00032712311969
C7 H20 0.0056548706327
C8 H20 3.1965464027e-05
C9 H20 0.0088741818266
C10 H20 1.2290779436e-06
H11 H20 0.00027740202335
H12 H20 5.1911614355e-05
H13 H20 0.00037777946049
H14 H20 9.5642763878e-06
H15 H20 1.0803373069e-05
H16 H20 3.8121385396e-05
H17 H20 2.2273143988e-05
H18 H20 9.0686693458e-08
H19 H20 6.846434666e-08
