Atom Charge
O1 -1.2423278326
O2 -1.3390410182
N3 -1.4062118015
N4 -1.04700086
C5 0.0040197176
C6 0.1673792079
C7 -0.0155602718
C8 0.5054304721
C9 0.4353234404
C10 0.4484849214
C11 0.0031590048
C12 0.0297757717
C13 1.7452289681
C14 0.0084798838
C15 0.0115419245
H16 -0.0299679777
H17 -0.0151703137
H18 -0.0100057568
H19 0.02765435582
H20 0.42218171931
H21 0.01880819252
H22 -0.0094731977
H23 -0.0117309425
H24 0.35557750797
H25 0.33567258029
H26 -0.0099630157
H27 0.61830546451
