Atom Charge
O1 -1.2635575263
O2 -1.3632306054
N3 -1.447994238
N4 -1.0582023215
C5 0.0093548096
C6 0.1927318115
C7 -0.0143414098
C8 0.5339773113
C9 0.4445355453
C10 0.4678899449
C11 0.0110869937
C12 0.0424843391
C13 1.7753612036
C14 0.0186064707
C15 0.0199272226
H16 -0.0397491657
H17 -0.0243777702
H18 -0.0187605088
H19 0.02123943475
H20 0.42310318933
H21 0.01223172009
H22 -0.0173464053
H23 -0.0197592085
H24 0.35535068914
H25 0.33460815493
H26 -0.0175940225
H27 0.62288874745
