Atom(A) Atom(B) Deloc_index
O1 O2 0.31586296481
O1 N3 0.016581976006
O2 N3 0.065813252241
O1 C4 0.025970536295
O2 C4 0.017110420394
N3 C4 0.063359599144
O1 C5 0.083441744333
O2 C5 0.096332872577
N3 C5 1.0091843122
C4 C5 0.91327848878
O1 C6 0.0040180569856
O2 C6 0.010778696159
N3 C6 0.020863980628
C4 C6 0.96650171474
C5 C6 0.044704357865
O1 C7 0.0029750498216
O2 C7 0.0039051797325
N3 C7 0.028280266811
C4 C7 0.9827182439
C5 C7 0.047157246822
C6 C7 0.047245232074
O1 C8 0.00043038199266
O2 C8 0.0012113688869
N3 C8 0.0026851049077
C4 C8 0.047060045938
C5 C8 0.010902348675
C6 C8 1.0013252844
C7 C8 0.013774573334
O1 C9 0.87808417379
O2 C9 1.2813290979
N3 C9 0.073678441437
C4 C9 0.047998858734
C5 C9 0.87290822619
C6 C9 0.011349673351
C7 C9 0.0093290064905
C8 C9 0.0013996429674
O1 H10 0.028713766921
O2 H10 0.0013017615404
N3 H10 0.011464707509
C4 H10 0.90701438996
C5 H10 0.038331094432
C6 H10 0.038603443535
C7 H10 0.039924547301
C8 H10 0.009856667505
C9 H10 0.0044123558431
O1 H11 0.016971267908
O2 H11 0.016598339937
N3 H11 0.05503608196
C4 H11 0.033718366457
C5 H11 0.88911082448
C6 H11 0.010042710082
C7 H11 0.011676147202
C8 H11 0.0019611624361
C9 H11 0.042926516078
H10 H11 0.003189931645
O1 H12 0.0049826211386
O2 H12 0.020579856415
N3 H12 0.0019022080858
C4 H12 0.039610403933
C5 H12 0.0070889846634
C6 H12 0.92715988478
C7 H12 0.011616588014
C8 H12 0.042498856486
C9 H12 0.011652734738
H10 H12 0.0026857558952
H11 H12 0.00044021918774
O1 H13 0.0007100040541
O2 H13 0.00072064543265
N3 H13 0.022386509945
C4 H13 0.039546109991
C5 H13 0.003537865271
C6 H13 0.92542479179
C7 H13 0.0089398171627
C8 H13 0.042093458868
C9 H13 0.00067453993119
H10 H13 0.012219320401
H11 H13 0.00038740157329
H12 H13 0.036358224245
O1 H14 0.00019246235954
O2 H14 0.00059256068153
N3 H14 0.0023134045386
C4 H14 0.041030642473
C5 H14 0.010062552584
C6 H14 0.012308087617
C7 H14 0.95492399443
C8 H14 0.00164812842
C9 H14 0.00072477795685
H10 H14 0.0032712092428
H11 H14 0.0096238123163
H12 H14 0.0028754213002
H13 H14 0.00086909166265
O1 H15 0.00081673909791
O2 H15 0.00030754736831
N3 H15 0.030422410221
C4 H15 0.039280687758
C5 H15 0.004013286534
C6 H15 0.0080804044202
C7 H15 0.93980374912
C8 H15 0.00098165572015
C9 H15 0.00062471321606
H10 H15 0.012135991106
H11 H15 0.00046915078274
H12 H15 0.00068060865182
H13 H15 0.0064385472058
H14 H15 0.037032345384
O1 H16 0.00032945190403
O2 H16 0.001488953398
N3 H16 0.0032301677479
C4 H16 0.039947592656
C5 H16 0.011540157435
C6 H16 0.0041638311385
C7 H16 0.94961560974
C8 H16 0.014173425988
C9 H16 0.0024149595384
H10 H16 0.0039235230005
H11 H16 0.0010781194534
H12 H16 0.00050482085934
H13 H16 0.00037905276522
H14 H16 0.037491109007
H15 H16 0.036325729484
O1 H17 0.00016595661397
O2 H17 6.952834808e-05
N3 H17 0.00088077106436
C4 H17 0.0094310419761
C5 H17 0.00070949183699
C6 H17 0.042254374082
C7 H17 0.0012206188929
C8 H17 0.95654837675
C9 H17 6.109342459e-05
H10 H17 0.0081215861119
H11 H17 7.458202749e-05
H12 H17 0.0030788789657
H13 H17 0.013183759996
H14 H17 0.00012796391313
H15 H17 0.00032298212366
H16 H17 0.0014564405652
O1 H18 6.7314866233e-05
O2 H18 0.00018081898478
N3 H18 0.00026809979456
C4 H18 0.012244140824
C5 H18 0.002201032767
