Atom Charge
O1 -1.3032531339
O2 -1.4099442905
N3 -1.5285365981
N4 -1.0819442759
C5 0.0228354943
C6 0.2472292278
C7 -0.0107275084
C8 0.5961359438
C9 0.4579692089
C10 0.5031466374
C11 0.0273686826
C12 0.0713726087
C13 1.8291813991
C14 0.0413874765
C15 0.0372021429
H16 -0.0607657997
H17 -0.0441127175
H18 -0.0375667628
H19 0.00750424086
H20 0.42459510328
H21 -0.0016719824
H22 -0.034426372
H23 -0.0371231688
H24 0.35450186185
H25 0.33204887127
H26 -0.0339359013
H27 0.63177056538
