Atom Loc_index
O1 8.3663107183
O2 8.5455384011
N3 6.7985206106
N4 6.560743185
C5 3.8908296615
C6 3.7548304904
C7 3.9000303231
C8 3.4731811632
C9 3.5920174275
C10 3.6271948232
C11 3.9266908789
C12 3.9091423784
C13 2.7784408615
C14 3.924225269
C15 3.9194124882
H16 0.47895612438
H17 0.46732756135
H18 0.46582283489
H19 0.43236480474
H20 0.149697861
H21 0.43038522376
H22 0.46357245243
H23 0.46516195226
H24 0.18196912044
H25 0.19594503867
H26 0.46433505868
H27 0.063230480151
