Atom Loc_index
O1 8.0288796825
O2 8.1846883244
N3 6.343056842
N4 6.4247490181
C5 3.8981496877
C6 3.9013365911
C7 3.8935065206
C8 3.6017385348
C9 3.6267122062
C10 3.7342318585
C11 3.9772140058
C12 3.9792759781
C13 2.8611757329
C14 3.9818949877
C15 3.9754184128
H16 0.41318743455
H17 0.40571936513
H18 0.40685439719
H19 0.39082681576
H20 0.15388816307
H21 0.38678483956
H22 0.41439277912
H23 0.41534994533
H24 0.17898919209
H25 0.18989251867
H26 0.41554856272
H27 0.075208405299
