Atom(A) Atom(B) Deloc_index
O1 O2 0.30918177545
O1 N3 0.013568516078
O2 N3 0.050942868971
O1 C4 0.0016569409932
O2 C4 0.0018448374873
N3 C4 0.017781904074
O1 C5 0.0089829742951
O2 C5 0.024724555821
N3 C5 0.086288963176
C4 C5 0.96534107834
O1 C6 0.08396954115
O2 C6 0.095334428838
N3 C6 0.99397095304
C4 C6 0.037358410516
C5 C6 0.93921273915
O1 C7 0.0057249575564
O2 C7 0.0007519984449
N3 C7 0.0017549755297
C4 C7 0.98159978096
C5 C7 0.048431463415
C6 C7 0.013520129561
O1 C8 0.015468482157
O2 C8 0.01407243627
N3 C8 0.0010923688017
C4 C8 0.98178632275
C5 C8 0.047310122714
C6 C8 0.0042101331994
C7 C8 0.053623342221
O1 C9 0.85887238442
O2 C9 1.2525345216
N3 C9 0.077161567141
C4 C9 0.0038629587099
C5 C9 0.046241347615
C6 C9 0.86592429455
C7 C9 0.00087183988197
C8 C9 0.0085623994669
O1 H10 0.00076319757552
O2 H10 0.00029856445645
N3 H10 0.0027525974324
C4 H10 0.92410017758
C5 H10 0.04484019559
C6 H10 0.010570970079
C7 H10 0.043230616564
C8 H10 0.043543912278
C9 H10 0.00061165357909
O1 H11 0.0012980843173
O2 H11 0.016181615645
N3 H11 0.014929888178
C4 H11 0.036476449392
C5 H11 0.92500557656
C6 H11 0.039489632572
C7 H11 0.010879985459
C8 H11 0.0098592076948
C9 H11 0.0047777666011
H10 H11 0.0030086606507
O1 H12 0.001811491405
O2 H12 0.0041933685627
N3 H12 0.018580800403
C4 H12 0.039060480154
C5 H12 0.93133345413
C6 H12 0.042220505298
C7 H12 0.006647957625
C8 H12 0.010876947137
C9 H12 0.010620775145
H10 H12 0.0067086927015
H11 H12 0.035835417853
O1 H13 0.02270918205
O2 H13 0.012083309898
N3 H13 0.05545643886
C4 H13 0.0031163874721
C5 H13 0.034532707833
C6 H13 0.89326134439
C7 H13 0.014775409899
C8 H13 0.00034761985755
C9 H13 0.032325791108
H10 H13 0.00030656718134
H11 H13 0.011064052835
H12 H13 0.0033165119097
O1 H14 0.013547270054
O2 H14 0.00059678728595
N3 H14 0.0010670131385
C4 H14 0.039284627167
C5 H14 0.0036959034599
C6 H14 0.008077211416
C7 H14 0.94250967383
C8 H14 0.0087625106478
C9 H14 0.00081138033574
H10 H14 0.012641829277
H11 H14 0.0004549521387
H12 H14 0.00044959968898
H13 H14 0.012772595416
O1 H15 0.00043823171395
O2 H15 0.00028446280886
N3 H15 0.0002485147679
C4 H15 0.03984584507
C5 H15 0.0090794851784
C6 H15 0.0022225712866
C7 H15 0.95756749793
C8 H15 0.012510957546
C9 H15 0.00024395580816
H10 H15 0.0030413352634
H11 H15 0.00075463174415
H12 H15 0.0060486252028
H13 H15 0.0036309598832
H14 H15 0.038293561506
O1 H16 0.00042544931963
O2 H16 0.00013613516873
N3 H16 0.00045658859507
C4 H16 0.040193175633
C5 H16 0.011902317241
C6 H16 0.0017462598313
C7 H16 0.95763678342
C8 H16 0.0081917391911
C9 H16 8.6754773781e-05
H10 H16 0.0047770286036
H11 H16 0.0023654784123
H12 H16 0.00056382100009
H13 H16 0.0019634437608
H14 H16 0.037777587896
H15 H16 0.038572939948
O1 H17 0.0011093506862
O2 H17 0.0073597642584
N3 H17 0.00014208748131
C4 H17 0.039014141952
C5 H17 0.0091214739989
C6 H17 0.00047671317719
C7 H17 0.012088472387
C8 H17 0.95334592907
C9 H17 0.0009663154565
H10 H17 0.0028328105245
H11 H17 0.0080313167791
H12 H17 0.00066209311082
H13 H17 0.00017223649792
H14 H17 0.00081391900729
H15 H17 0.0034060952464
H16 H17 0.00085158351489
O1 H18 0.032191834646
O2 H18 0.011646507099
N3 H18 0.00021689643012
C4 H18 0.039581695184
C5 H18 0.0030726908942
C6 H18 0.0012940560685
C7 H18 0.0093240218734
C8 H18 0.93662062123
C9 H18 0.009863106286
H10 H18 0.012496262344
H11 H18 0.00039552756249
H12 H18 0.00044602066308
H13 H18 0.00010478318559
H14 H18 0.0062195192325
H15 H18 0.00091030535535
H16 H18 0.00054265321045
H17 H18 0.037171523615
O1 H19 0.0013303819762
O2 H19 0.0020566726841
N3 H19 0.00046087174227
C4 H19 0.040860610425
C5 H19 0.011811686911
C6 H19 0.0006424513979
C7 H19 0.0077200439258
C8 H19 0.95817682168
C9 H19 0.0010147162585
H10 H19 0.0054559965019
H11 H19 0.00076072789655
H12 H19 0.0023186470932
H13 H19 5.1519104865e-05
H14 H19 0.0004896171579
H15 H19 0.00079002630959
H16 H19 0.0060994152091
H17 H19 0.037625376638
H18 H19 0.037716927075
O1 H20 0.0017101450135
O2 H20 0.0044602789738
N3 H20 0.8702787661
C4 H20 0.0005895544659
C5 H20 0.0072699210163
C6 H20 0.023295465695
C7 H20 5.9438329531e-05
C8 H20 0.00025214276274
C9 H20 0.0099121525169
H10 H20 0.00010273163694
H11 H20 0.00047907288567
H12 H20 0.0063772668008
H13 H20 0.0015360955877
H14 H20 1.8204384814e-05
H15 H20 2.896020372e-05
H16 H20 1.3032058453e-05
H17 H20 1.2755258795e-05
H18 H20 2.9103605311e-05
H19 H20 6.4033360231e-05
O1 H21 0.0012150089253
O2 H21 0.019373515491
N3 H21 0.84703846735
C4 H21 0.00039913584968
C5 H21 0.0045951988099
C6 H21 0.023214569231
C7 H21 0.00038240129519
C8 H21 4.7993000795e-05
C9 H21 0.0035459797021
H10 H21 4.6221171906e-05
H11 H21 0.0036398650419
H12 H21 0.00041635706171
H13 H21 0.010367822713
H14 H21 0.0002667349973
H15 H21 5.0839467787e-05
H16 H21 8.255083315e-05
H17 H21 1.4977101813e-05
H18 H21 1.657741706e-05
H19 H21 1.5336787693e-05
H20 H21 0.017004263398
O1 H22 0.62665900042
O2 H22 0.019369378848
N3 H22 0.001361445739
C4 H22 5.7460208835e-05
C5 H22 0.0010275066277
C6 H22 0.0096687815817
C7 H22 6.9917998219e-05
C8 H22 0.00012625214564
C9 H22 0.011688760621
H10 H22 2.1684310558e-05
H11 H22 4.6562275971e-05
H12 H22 0.00036004150469
H13 H22 0.00078900321969
H14 H22 0.00020705936599
H15 H22 5.5509389363e-06
H16 H22 1.0326511556e-05
H17 H22 8.7605049515e-06
H18 H22 0.00042876912352
H19 H22 1.5786737506e-05
H20 H22 0.00037643086949
H21 H22 3.822733258e-05
