Atom Loc_index
O1 8.4024739352
O2 8.5872060808
N3 6.8549201694
N4 6.5779292917
C5 3.8873912335
C6 3.7322565736
C7 3.9000237309
C8 3.4530841276
C9 3.591959923
C10 3.616628051
C11 3.9193634952
C12 3.8972404278
C13 2.7753663611
C14 3.914553907
C15 3.9114434759
H16 0.48904303569
H17 0.47672838563
H18 0.47484453705
H19 0.43869094181
H20 0.14943635543
H21 0.43690015029
H22 0.47130425552
H23 0.47295332973
H24 0.18259659026
H25 0.19700703029
H26 0.47185722384
H27 0.061926445764
