Atom(A) Atom(B) Deloc_index
O1 O2 0.0096207535769
O1 O3 0.27983843917
O2 O3 0.0004172029864
O1 O4 0.023749815388
O2 O4 0.28021373181
O3 O4 0.00088513939989
O1 N5 0.0099664067668
O2 N5 0.0018783677291
O3 N5 0.052070986755
O4 N5 0.0035127563168
O1 C6 0.07099357204
O2 C6 0.0080991936438
O3 C6 0.085771039729
O4 C6 0.023208970734
N5 C6 0.95421336515
O1 C7 0.026788451276
O2 C7 0.081784181476
O3 C7 0.010879153942
O4 C7 0.092467457853
N5 C7 0.072624101393
C6 C7 0.92708887586
O1 C8 0.71211465614
O2 C8 0.00057228471384
O3 C8 1.086158255
O4 C8 0.0015902376357
N5 C8 0.060234543152
C6 C8 0.86045230034
C7 C8 0.039774260397
O1 C9 0.016922959866
O2 C9 0.71397785216
O3 C9 0.000718542582
O4 C9 1.077350506
N5 C9 0.008881841372
C6 C9 0.035735277434
C7 C9 0.89224998959
C8 C9 0.0019468906938
O1 H10 0.007740278198
O2 H10 0.0010682165677
O3 H10 0.014123667211
O4 H10 0.030556667758
N5 H10 0.062227309881
C6 H10 0.89414494742
C7 H10 0.034382727364
C8 H10 0.047788322697
C9 H10 0.0040102254105
O1 H11 0.0094188229492
O2 H11 0.018338267254
O3 H11 0.0010161333661
O4 H11 0.011577268843
N5 H11 0.0080365402714
C6 H11 0.033312374183
C7 H11 0.93650856307
C8 H11 0.0049558171153
C9 H11 0.035177710117
H10 H11 0.0084880248126
O1 H12 0.0031232301889
O2 H12 0.0078106511841
O3 H12 0.0021909561884
O4 H12 0.016037693244
N5 H12 0.016898286874
C6 H12 0.033863876738
C7 H12 0.93190121037
C8 H12 0.0070590105104
C9 H12 0.048714680468
H10 H12 0.001728257083
H11 H12 0.034003593204
O1 H13 0.00093563674696
O2 H13 0.000339298983
O3 H13 0.029437498551
O4 H13 0.00013402169177
N5 H13 0.82169193121
C6 H13 0.018131393931
C7 H13 0.0067470420248
C8 H13 0.0035928655204
C9 H13 0.0012293428851
H10 H13 0.00089187790492
H11 H13 0.0001558609336
H12 H13 0.00084860039979
O1 H14 0.0013485870927
O2 H14 5.5067340619e-05
O3 H14 0.0024756806334
O4 H14 0.00014534304254
N5 H14 0.87964034914
C6 H14 0.020588010408
C7 H14 0.0018934030632
C8 H14 0.0066096208474
C9 H14 0.00019893408492
H10 H14 0.0035387224987
H11 H14 0.00021652655353
H12 H14 0.0015740190699
H13 H14 0.015095071338
O1 H15 0.58347455966
O2 H15 0.00011278905482
O3 H15 0.01144184614
O4 H15 0.00047158345106
N5 H15 0.0011005781671
C6 H15 0.0061395849811
C7 H15 0.00069300746013
C8 H15 0.0086935355781
C9 H15 0.00044477136536
H10 H15 0.00022325159687
H11 H15 9.1826146341e-05
H12 H15 5.5004554288e-05
H13 H15 3.7996104369e-05
H14 H15 0.00022615744159
O1 H16 5.2013329426e-05
O2 H16 0.59333814061
O3 H16 1.141937073e-05
O4 H16 0.012253930113
N5 H16 0.00031248148402
C6 H16 0.00092649436842
C7 H16 0.006606444429
C8 H16 2.1782772448e-05
C9 H16 0.0087342198576
H10 H16 3.1054436281e-05
H11 H16 0.00055483717078
H12 H16 0.0002995001028
H13 H16 6.3605416038e-05
H14 H16 7.8088349731e-06
H15 H16 5.1383549313e-07
