Atom Charge
S1 -0.005449285
O2 -1.1996942456
O3 -1.278164445
N4 -1.0416888011
C5 0.1116279526
C6 0.4363893171
C7 -0.0227470608
C8 1.6850992938
C9 -0.0308777556
H10 -0.0171964976
H11 -0.0150183072
H12 0.0056317081
H13 0.03089370922
H14 -0.0031169566
H15 0.37714403123
H16 0.33885162606
H17 -0.0020787775
H18 0.01549613955
H19 0.00417493895
H20 0.61009432278
